ид_абонента;имя;фамилия;дата_подключения;доверительный_платеж;колл_инт_устр;колл_тв_устр;коммент_при_подкл
011379f1-910f-43cf-8600-a404594c32e5;Rick;Eddison;2020-01-21;1;2;4;good
0318507c-12d9-4d78-9224-77b82afadad9;Fred;Broomfield;2020-01-30;0;2;2;good
083aa6ce-0702-4521-9815-304e61894018;Maxwell;Garner;2020-01-27;1;1;1;
0bd3137f-9569-4c25-b517-74ff9e77d0cb;Rufus;Parker;2020-01-27;1;1;1;bad
0d766150-3581-445c-beb4-463a7803add3;Naomi;Stubbs;2020-01-31;1;1;3;
109a829b-fedd-4612-b354-effbe10d0be6;Alexander;Heaton;2020-01-29;0;2;2;bad
1325a479-7b17-4267-af0a-ba7c1a56213c;Manuel;Doherty;2020-01-07;0;2;1;bad
13392431-b388-4e7e-9095-b023a2e75cc6;Cedrick;Wilkinson;2020-01-14;0;2;2;bad
181acbb2-0ebb-46d1-9374-a7d967bd4fae;Charlotte;Price;2020-01-22;0;1;2;bad
18495a7b-a750-4068-8413-d1e6a67889a3;Daron;Robertson;2020-01-07;1;1;2;
20d4dd16-9a85-4e9b-895e-61b4e3e1390d;Mark;Newman;2020-01-08;1;2;4;
264d3cbf-4844-4806-a460-2207cfcffca1;Barney;Rees;2020-01-07;1;1;3;
2745f0b6-8135-4883-9a14-7e037e7ee66d;Angelica;Glynn;2020-01-19;0;2;2;bad
27f691bc-ba81-490a-b077-6c038f9652d9;Chester;Dickson;2020-01-29;0;1;4;
28abe939-e728-4ef7-a0b3-7ab764514906;Rose;Locke;2020-01-27;1;2;5;good
2b343f21-5445-4419-9ea8-14db9ccda1e2;Davina;Jacobs;2020-01-02;1;1;4;
2bbddb65-e4f2-48a7-a99f-80499f035d8a;Nancy;Snow;2020-01-03;0;2;4;
35d1dbd0-a3f6-4312-bb34-40772a652efc;Meredith;Roscoe;2020-01-01;0;1;2;bad
3938cbe2-6959-46cf-8143-b07dd7effed6;Tyler;Grady;2020-01-15;0;1;2;
395b2096-8e2c-4a74-9616-a0c9831c0e93;Dorothy;Moreno;2020-01-25;0;1;4;bad
3b104f89-0f1c-4a4e-a0e8-479397678f2f;Valerie;Bradshaw;2020-01-19;1;2;4;
3c23cefd-0b80-4341-9dd3-091c0c2d5f4f;Enoch;Tanner;2020-01-11;0;2;2;
3f8af854-26a1-449d-a4a7-9bcd06a17088;Hank;Collins;2020-01-09;1;1;2;good
403ada69-ac9f-484b-a889-3bfe829d9391;Michael;Baldwin;2020-01-31;1;2;2;
4b2f5478-35cc-46ce-ae07-99b44dd8fe4e;Chadwick;Clarkson;2020-01-16;1;1;4;
4b4d4195-3664-4573-be05-88cf9c793224;Bridget;Russell;2020-01-27;1;2;1;good
4cceead4-e82e-41d2-88a1-043af5ad6228;Davina;Ballard;2020-01-18;0;1;1;good
4d731348-e17c-4eba-9994-879b77bd0b24;Denis;Harrison;2020-01-08;0;2;4;
4ef47e0b-6751-4462-8883-5984a98a5370;Maxwell;Mullins;2020-01-12;1;2;1;bad
504c2e9b-1d7e-4363-9798-bc3d6d2e816c;Tyler;Wilcox;2020-01-16;0;1;4;bad
553623b2-dfb2-49c2-8d59-e3a8ddd590f1;Logan;Weston;2020-01-07;0;2;1;bad
5826ec5e-e6ba-4562-b261-4603b9ef9c06;Javier;Burge;2020-01-10;0;2;4;
5c1ca460-68f4-43ab-b66d-dc3f56dab683;Mary;Latham;2020-01-03;0;2;5;bad
5db1732d-413e-4d46-b5c7-d4bf610d37f3;Alexander;Shelton;2020-01-06;0;2;1;good
61518eff-0af4-459e-81ab-0ed58916ab75;Esmeralda;Kerr;2020-01-14;1;1;2;
6502f3e7-9078-4492-96e8-9bb867cd2e82;Clarissa;Rainford;2020-01-07;0;2;4;good
662d2a18-2281-46fa-9529-f3173a0c43f3;Diane;Rodwell;2020-01-26;1;1;1;bad
6bbc7755-ade9-4fe3-a0f6-9c94d11a8201;Olivia;Reynolds;2020-01-02;1;2;3;
6e15b129-d4e0-41a7-a3c4-32ea6a4a9623;Maxwell;Freeburn;2020-01-21;0;1;5;bad
6f6a0228-ad56-4b16-ba7d-6af91f0685da;Penelope;Craig;2020-01-15;1;1;3;
706a44d5-f4fc-4991-961d-4085c6236478;Florence;Waterhouse;2020-01-08;1;1;3;good
77455b95-585b-4e3b-bb60-9d0cae5bc747;Parker;Brooks;2020-01-31;1;1;4;
78de8503-4c05-4756-b574-59f7f6c9d214;Maddison;Farrant;2020-01-09;1;2;3;bad
7dc19a0a-4548-40c9-9903-27d8f5826778;Jack;Hall;2020-01-07;0;2;3;
